name,album,release_date,track_number,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,category_popularity,min_duration,duration_category,dance_category,energy_category,valence_category
You're Not Sorry,Fearless Platinum Edition,2008-11-11,15,spotify:track:6HWYtS215rxaaMjvpyG18W,0.13,0.459,0.459,2.3e-06,0.113,-4.126,0.0275,134.018,0.281,44,Medium,4.363333333333333,Long,Not very danceable,Low energy,Negative
The Way I Loved You,Fearless Platinum Edition,2008-11-11,16,spotify:track:77VotUUL79U10TAnYdqwvr,0.0322,0.436,0.712,0.0,0.111,-3.689,0.0329,160.886,0.379,46,Medium,4.070666666666667,Medium,Not very danceable,Moderate energy,Neutral
Forever & Always,Fearless Platinum Edition,2008-11-11,17,spotify:track:1zxrcAk6eiytfavqriMcKT,0.0907,0.605,0.829,0.0,0.106,-4.993,0.0549,128.012,0.514,45,Medium,3.75555,Medium,Moderately danceable,High energy,Neutral
The Best Day,Fearless Platinum Edition,2008-11-11,18,spotify:track:5YbZZ2gYfvW1UvHHF4pVaD,0.611,0.664,0.447,1e-06,0.139,-8.535,0.0292,126.079,0.364,44,Medium,4.0891,Medium,Moderately danceable,Low energy,Neutral
Change,Fearless Platinum Edition,2008-11-11,19,spotify:track:0RdcBnAXyH2YZZvcBVu2k6,0.00471,0.548,0.756,0.0,0.117,-4.175,0.036,96.038,0.224,43,Medium,4.684216666666667,Long,Moderately danceable,High energy,Negative
Fearless,Fearless,2008-11-11,1,spotify:track:6Eu31gddWw0gOGO506pJYA,0.04,0.594,0.712,0.0,0.309,-4.418,0.0273,99.972,0.476,61,Medium,4.0331,Medium,Moderately danceable,Moderate energy,Neutral
Fifteen,Fearless,2008-11-11,2,spotify:track:4t0OI7XrODjSkAu3bTPmWj,0.067,0.556,0.651,0.0,0.145,-4.396,0.0266,95.485,0.203,60,Medium,4.90555,Long,Moderately danceable,Moderate energy,Negative
Love Story,Fearless,2008-11-11,3,spotify:track:1vrd6UOGamcKNGnSHJQlSt,0.17,0.618,0.741,0.0,0.0822,-3.95,0.031,118.984,0.296,71,High,3.9211,Medium,Moderately danceable,Moderate energy,Negative
Hey Stephen,Fearless,2008-11-11,4,spotify:track:4WXzzCof26KJLTK5kK53dS,0.194,0.841,0.544,2.48e-06,0.108,-7.347,0.0309,115.994,0.831,50,Medium,4.238433333333333,Medium,Very danceable,Moderate energy,Positive
White Horse,Fearless,2008-11-11,5,spotify:track:6wn61Fzx9XMxQmieLpoIhW,0.305,0.578,0.34,0.0,0.104,-8.027,0.0264,92.702,0.223,55,Medium,3.9071,Medium,Moderately danceable,Low energy,Negative
You Belong With Me,Fearless,2008-11-11,6,spotify:track:3GCL1PydwsLodcpv0Ll1ch,0.162,0.687,0.783,1.35e-05,0.114,-4.44,0.0386,129.964,0.443,72,High,3.8522166666666666,Medium,Moderately danceable,High energy,Neutral
Breathe,Fearless,2008-11-11,7,spotify:track:49mWEy5MgtNujgT7xU3emT,0.379,0.505,0.482,0.0,0.113,-7.372,0.0276,73.975,0.184,47,Medium,4.39955,Long,Moderately danceable,Low energy,Negative
Tell Me Why,Fearless,2008-11-11,8,spotify:track:3rnI1UCyGJvUTVvT97VQr5,0.0571,0.604,0.855,3.65e-06,0.343,-3.097,0.038,99.96,0.51,46,Medium,3.342433333333333,Short,Moderately danceable,High energy,Neutral
You're Not Sorry,Fearless,2008-11-11,9,spotify:track:0HmCuN0Z3OX1Qrz43FLOPL,0.146,0.475,0.452,1.36e-06,0.108,-4.134,0.027,133.959,0.276,48,Medium,4.3631,Long,Not very danceable,Low energy,Negative
The Way I Loved You,Fearless,2008-11-11,10,spotify:track:5P4wWhUYWM0IaVYLuZxdar,0.0408,0.433,0.7,0.0,0.115,-3.709,0.0336,160.927,0.398,56,Medium,4.070433333333333,Medium,Not very danceable,Moderate energy,Neutral
Forever & Always,Fearless,2008-11-11,11,spotify:track:47HtKpfzpAt8rQjjXWotFj,0.0752,0.608,0.821,0.0,0.11,-4.985,0.0576,128.042,0.544,51,Medium,3.755333333333333,Medium,Moderately danceable,High energy,Neutral
The Best Day,Fearless,2008-11-11,12,spotify:track:3esA216TyLHEkNiBCeCmcg,0.647,0.666,0.434,1.95e-06,0.124,-8.543,0.0289,126.084,0.396,49,Medium,4.088883333333333,Medium,Moderately danceable,Low energy,Neutral
Change,Fearless,2008-11-11,13,spotify:track:1yACRKAwlXWhXXFUSkvzhD,0.00408,0.541,0.77,0.0,0.117,-4.17,0.0354,96.013,0.215,44,Medium,4.6706666666666665,Long,Moderately danceable,High energy,Negative
Love Story - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,2008-06-28,1,spotify:track:4RBKAqJ3qyvvriDG0s9IJ3,0.659,0.741,0.444,0.0,0.131,-7.031,0.0311,119.006,0.512,42,Medium,3.6838,Medium,Moderately danceable,Low energy,Neutral
Fearless - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,2008-06-28,2,spotify:track:5g7RMU3cV7zXWH244BLe7G,0.814,0.623,0.266,0.0,0.145,-5.894,0.026,96.601,0.467,42,Medium,3.304116666666667,Short,Moderately danceable,Low energy,Neutral
Beautiful Eyes - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,2008-06-28,3,spotify:track:4aBW31cmkA7BLColUsMEeZ,0.596,0.627,0.704,0.0,0.0598,-3.739,0.0269,98.958,0.457,45,Medium,2.9386,Short,Moderately danceable,Moderate energy,Neutral
Untouchable - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,2008-06-28,4,spotify:track:4MbHDiHQjhmoVAV75G04Ql,0.856,0.731,0.184,0.0,0.0927,-9.235,0.0418,102.404,0.331,38,Medium,3.7159833333333334,Medium,Moderately danceable,Low energy,Neutral
Teardrops On My Guitar - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,2008-06-28,5,spotify:track:4DjevQhsPWULcondN4mRh5,0.664,0.344,0.801,0.0,0.106,-5.373,0.0574,204.489,0.615,38,Medium,3.2724333333333333,Short,Not very danceable,High energy,Neutral
Picture To Burn - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,2008-06-28,6,spotify:track:7EvU9pRoJ9Xs7anx0P7tEc,0.266,0.647,0.872,0.0,0.419,-1.953,0.0524,105.798,0.684,37,Medium,2.8983166666666667,Short,Moderately danceable,High energy,Positive
Should've Said No - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,2008-06-28,7,spotify:track:5a9hUL6ZuiagZhazwrtwHF,0.399,0.429,0.808,0.0,0.0884,-3.004,0.0677,171.537,0.438,38,Medium,3.8078833333333333,Medium,Not very danceable,High energy,Neutral
Change - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,2008-06-28,8,spotify:track:69o9kr9UexjzeZDE8yD8dQ,0.156,0.243,0.712,0.0,0.111,-4.307,0.0577,202.319,0.273,35,Medium,4.308116666666667,Medium,Not very danceable,Moderate energy,Negative
Tim McGraw,Taylor Swift,2006-10-24,1,spotify:track:0Om9WAB5RS09L80DyOfTNa,0.575,0.58,0.491,0.0,0.121,-6.462,0.0251,76.009,0.425,68,High,3.8684333333333334,Medium,Moderately danceable,Low energy,Neutral
Picture To Burn,Taylor Swift,2006-10-24,2,spotify:track:32mVHdy0bi1XKgr0ajsBlG,0.173,0.658,0.877,0.0,0.0962,-2.098,0.0323,105.586,0.821,72,High,2.8844333333333334,Short,Moderately danceable,High energy,Positive
Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,3,spotify:track:7zMcNqs55Mxer82bvZFkpg,0.288,0.621,0.417,0.0,0.119,-6.941,0.0231,99.953,0.289,69,High,3.384,Short,Moderately danceable,Low energy,Negative
A Place in this World,Taylor Swift,2006-10-24,4,spotify:track:73OX8GdpOeGzKC6OvGSbsv,0.051,0.576,0.777,0.0,0.32,-2.881,0.0324,115.028,0.428,60,Medium,3.32,Short,Moderately danceable,High energy,Neutral
Cold As You,Taylor Swift,2006-10-24,5,spotify:track:7an1exwMnfYRcdVQm0yDev,0.217,0.418,0.482,0.0,0.123,-5.769,0.0266,175.558,0.261,60,Medium,3.98355,Medium,Not very danceable,Low energy,Negative
The Outside,Taylor Swift,2006-10-24,6,spotify:track:2QA3IixpRcKyOdG7XDzRgv,0.00491,0.589,0.805,0.0,0.24,-4.055,0.0293,112.982,0.591,58,Medium,3.451766666666667,Short,Moderately danceable,High energy,Neutral
Tied Together with a Smile,Taylor Swift,2006-10-24,7,spotify:track:6K0CJLVXqbGMeJSmJ4ENKK,0.525,0.479,0.578,0.0,0.0841,-4.963,0.0294,146.165,0.192,59,Medium,4.1351,Medium,Not very danceable,Moderate energy,Negative
Stay Beautiful,Taylor Swift,2006-10-24,8,spotify:track:2ZoOmCSgj0ypVAmGd1ve4y,0.0868,0.594,0.629,0.0,0.137,-4.919,0.0246,131.597,0.504,59,Medium,3.9342166666666665,Medium,Moderately danceable,Moderate energy,Neutral
Should've Said No,Taylor Swift,2006-10-24,9,spotify:track:16MVSD0mGI4RMQT83Qzm69,0.0103,0.476,0.777,0.0,0.196,-3.771,0.0289,167.964,0.472,69,High,4.036666666666667,Medium,Not very danceable,High energy,Neutral
Mary's Song (Oh My My My),Taylor Swift,2006-10-24,10,spotify:track:2QrQCMel6v2JiLxqrg4p2O,0.0177,0.403,0.627,0.0,0.182,-5.28,0.0292,74.9,0.374,62,Medium,3.5513333333333335,Medium,Not very danceable,Moderate energy,Neutral
Our Song,Taylor Swift,2006-10-24,11,spotify:track:15DeqWWQB4dcEWzJg15VrN,0.111,0.668,0.672,0.0,0.329,-4.931,0.0303,89.011,0.539,77,High,3.351766666666667,Short,Moderately danceable,Moderate energy,Neutral
I'm Only Me When I'm With You,Taylor Swift,2006-10-24,12,spotify:track:0JIdBrXGSJXS72zjF9ss9u,0.00452,0.563,0.934,0.000807,0.103,-3.629,0.0646,143.964,0.518,62,Medium,3.550883333333333,Medium,Moderately danceable,High energy,Neutral
Invisible,Taylor Swift,2006-10-24,13,spotify:track:5OOd01o2YS1QFwdpVLds3r,0.637,0.612,0.394,0.0,0.147,-5.723,0.0243,96.001,0.233,58,Medium,3.3871,Short,Moderately danceable,Low energy,Negative
A Perfectly Good Heart,Taylor Swift,2006-10-24,14,spotify:track:1spLfUJxtyVyiKKTegQ2r4,0.00349,0.483,0.751,0.0,0.128,-5.726,0.0365,156.092,0.268,57,Medium,3.6691,Medium,Not very danceable,High energy,Negative
Teardrops on My Guitar - Pop Version,Taylor Swift,2006-10-24,15,spotify:track:4pJi1rVt9GNegU9kywjg4z,0.0402,0.459,0.753,0.0,0.0863,-3.827,0.0537,199.997,0.483,57,Medium,2.9844333333333335,Short,Not very danceable,High energy,Neutral
